斑马AI课-前端研发实习生,猿辅导,https://www.nowcoder.com/intern/50209?jobIds=47386&ncsr=,¥800-1000元/天,北京,简历处理率：100%,平均处理：1天,处理快,前端,薪资：800-1000元/天  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 岗位介绍  1. 负责斑马AI课电商业务的多个系统设计和开工作；  2. 注重页面性能与体验设计，提高斑马AI课用户体验；  3. 探索业务需求及痛点的解决方案，用技术提升效率。    任职要求  1. 2022届及之后的毕业生，计算机及相关专业本科及以上学历；  2. 良好的数据结构和算法基础，优秀的编码能力；  3. 熟练掌握 HTML/CSS/JavaScript 等前端技术；  4. 熟悉至少 1 种 JavaScript 框架；  5. 有 Node.js 开发经验者优先；  6. 日常实习或者暑期实习均可，每周出勤不少于3天，能长期实习者优先。    福利待遇  1. 超高日薪：日薪600元，每周实习4天及以上，会有200元/天的全勤奖，即日薪800元；  2. 导师帮带：部门金牌导师一对一帮带，让你实习有所收获、有所成长；  3. 快速成长：接触有挑战性的项目，在项目中不断精进技术；  4. 福利多多：每日40元餐费补贴，每月120元团建补贴，全天零食饮料无限量供应，免费使用公司签约的健身房等；  5. 直通秋招：转正名额多多（实习转正优先）；实习面试不通过，不影响秋招流程。    ﻿招聘流程  简历筛选﻿-初试-复试-HR面试-offer﻿ ,Null,
小猿搜题/口算-前端研发实习生,猿辅导,https://www.nowcoder.com/intern/50209?jobIds=47384&ncsr=,¥800-1000元/天,北京,简历处理率：98%,平均处理：1天,处理快,前端,薪资：800-1000元/天  |  实习要求：4天/周，3个月以上  |  转正机会：有, 岗位职责 岗位介绍  1. 负责小猿搜题/猿题库/小猿口算相关产品的前端研发；  2. 负责高质量编码设计，承担重点业务开发，保证业务稳定推进。    任职资格  1. 2022届及之后的毕业生，计算机及相关专业本科及以上学历；  2. 良好的数据结构和算法基础，优秀的编码能力；  3. 熟练掌握 HTML/CSS/JavaScript 等前端技术；  4. 熟悉至少 1 种 JavaScript 框架；  5. 有 Node.js 开发经验者优先；  6. 日常实习或者暑期实习均可，每周出勤不少于3天，能长期实习者优先。    福利待遇  1. 超高日薪：日薪600元，每周实习4天及以上，会有200元/天的全勤奖，即日薪800元；  2. 导师帮带：部门金牌导师一对一帮带，让你实习有所收获、有所成长；  3. 快速成长：接触有挑战性的项目，在项目中不断精进技术；  4. 福利多多：每日40元餐费补贴，每月120元团建补贴，全天零食饮料无限量供应，免费使用公司签约的健身房等；  5. 直通秋招：转正名额多多（实习转正优先）；实习面试不通过，不影响秋招流程。    ﻿招聘流程  简历筛选﻿-初试-复试-HR面试-offer﻿ ,Null,
前端开发实习生,小红书,https://www.nowcoder.com/intern/52217?jobIds=49359&ncsr=,¥250-300元/天,北京 上海,简历处理率：97%,平均处理：3天,有反馈,前端,薪资：250-300元/天  |  实习要求：5天/周，3个月以上  |  转正机会：有, 岗位职责 参与小红书社区基础产品业务开发，和产品、设计配合，为用户提供更好的价值和使用体验参与团队业务的技术沉淀，在技术生涯伊始为未来打下坚实的技术基础 ,Null,
2022届-前端实习生-学而思网校1对1,学而思,https://www.nowcoder.com/intern/18388?jobIds=46110&ncsr=,¥薪酬面议,北京,简历处理率：100%,平均处理：2天,处理快,前端,薪酬：面议  |  实习要求：5天/周，3个月以上  |  转正机会：有, 岗位职责 1、掌握HTML、CSS，JavaScript基础知识，熟悉ES6，Webpack，VScode等工程化工具； 2、积极主动，具备良好的编码习惯和总结的习惯； 3、负责在线1V1教育产品的研发，测试，部署等工作，为代码质量负责。   ,Null,
2021腾讯春季实习招聘,腾讯,https://www.nowcoder.com/intern/4950?jobIds=47773&ncsr=,¥250-300元/天,深圳 西安,简历处理率：95%,平均处理：1天,处理快,前端,薪资：250-300元/天  |  实习要求：5天/周，2个月以上  |  转正机会：有, 岗位职责     负责经营平台内部系统前端页面的开发，维护和优化工作；       负责页面相关的接入层的开发（nodejs）。        负责前端框架的搭建，公共组件的开发和维护。 ,Null,
【实习生】腾讯web前端开发实习生（面向2022届）,腾讯,https://www.nowcoder.com/intern/17490?jobIds=43793&ncsr=,¥薪酬面议,深圳,简历处理率：96%,平均处理：2天,处理快,前端,薪酬：面议  |  实习要求：5天/周，3个月以上  |  转正机会：有, 岗位职责 负责中心日常web业务、新技术预研与平台的建设，负责团队开源项目建设和工具研发，负责团队前沿技术的研究与落地，探索前端在人工智能方向上的应用； ,Null,
腾讯前端开发（暑期实习）,腾讯,https://www.nowcoder.com/intern/52290?jobIds=49495&ncsr=,¥薪酬面议,深圳,简历处理率：91%,平均处理：1天,处理快,前端,薪酬：面议  |  实习要求：5天/周，2个月以上  |  转正机会：有, 岗位职责 负责前端页面、公共组件的开发、维护以及优化  负责页面相关接入层（node）的开发 ,Null,
web前端实习生,成都超有爱科技有限公司,https://www.nowcoder.com/intern/563?jobIds=13867&ncsr=,¥150-200元/天,成都,简历处理率：99%,平均处理：4天,有反馈,前端,薪资：150-200元/天  |  实习要求：5天/周，3个月以上  |  转正机会：面议, 岗位职责 1.负责软件Web前端页面开发；     2.根据项目负责人要求参与项目设计开发。 ,Null,
前端开发工程师-22届实习生,便利蜂,https://www.nowcoder.com/intern/49738?jobIds=47960&ncsr=,¥400-500元/天,北京,简历处理率：96%,平均处理：1天,处理快,前端,薪资：400-500元/天  |  实习要求：4天/周，1个月以上  |  转正机会：有, 岗位职责 岗位职责： 1.负责便利蜂各应用系统的前端研发，前端各类交互设计与实现； 2.负责高质量编码设计，承担重点业务开发，保证业务稳定推进。    ,Null,
HR实习生-招聘,快手,https://www.nowcoder.com/intern/50091?jobIds=47249&ncsr=,¥150-200元/天,北京,简历处理率：50%,平均处理：2天,处理快,其他,薪资：150-200元/天  |  实习要求：5天/周，3个月以上  |  转正机会：面议, 岗位职责 1、协助招聘，电话预约、协调候选人、面试官时间，并安排和接待面试； 2、基础岗位招聘，网络筛选简历、搜寻简历； 3、协助进行招聘渠道维护相关的工作； 4、协助进行人力资源相关的数据统计工作； 5、支持招聘Team其他事宜。 ,Null,
